station_id	capacity	curUsable	targetUsable	curBroken
446	22	1	6	20
90	27	14	23	11
511	14	2	3	12
333	20	15	17	0
4	62	33	38	23
379	25	9	15	2
181	29	13	10	0
126	42	15	2	3
484	7	0	5	4
175	34	19	16	1
12	19	12	10	0
32	37	9	1	17
28	23	6	14	4
191	39	6	7	9
396	23	8	12	9
57	27	21	23	6
413	31	30	29	1
455	14	9	4	0
87	33	1	0	8
228	57	1	15	15
512	14	0	14	3
63	57	0	26	32
433	59	42	31	15
305	39	6	1	30
58	24	14	21	4
470	22	1	7	18
116	37	3	0	28
188	23	12	20	8
170	31	24	17	3
82	55	37	26	11
35	23	12	6	6
200	27	14	21	5
434	35	18	22	14
203	32	2	0	13
198	27	13	7	14
385	27	20	14	6
140	57	0	26	16
97	43	5	15	3
335	27	15	23	5
101	27	12	15	3
