0.00	601.80	451.50	599.60	726.90	677.90	540.50	440.70	356.10	0.00	717.80	621.00	151.70	762.70	221.10	437.00	601.50	562.70	684.10	362.50	246.90	569.70	131.70	345.80	359.10	661.60	610.00	519.50	699.50	715.10	338.40	641.80	813.40	430.20	298.00	104.00	514.10	150.60	496.40	721.00	616.40
640.30	0.00	440.40	78.70	770.80	666.80	803.90	468.00	386.20	640.30	706.70	609.90	507.70	751.60	736.50	946.70	590.40	1071.50	155.30	879.10	753.20	105.90	676.40	872.50	366.30	650.50	54.10	556.30	688.40	704.00	583.40	630.70	802.30	956.90	807.70	568.60	902.70	681.70	507.60	763.40	606.40
439.40	472.90	0.00	470.70	405.00	301.00	439.10	80.90	169.70	439.40	340.90	244.10	331.30	385.80	633.70	582.80	224.60	654.90	620.90	525.80	603.30	440.80	445.40	709.80	149.80	284.70	481.10	117.60	322.60	338.20	230.00	264.90	436.50	794.20	420.00	380.00	537.90	437.80	105.90	397.60	235.10
642.70	71.00	442.80	0.00	773.20	669.20	806.30	470.40	388.60	642.70	709.10	612.30	510.10	754.00	730.60	949.10	592.80	1071.10	181.80	873.20	747.30	41.50	670.50	866.60	368.70	652.90	24.90	558.70	690.80	706.40	585.80	633.10	804.70	951.00	806.40	571.00	905.10	684.10	510.00	765.80	608.80
714.00	775.80	397.40	773.60	0.00	237.90	323.00	361.40	453.10	714.00	352.40	201.30	609.20	397.30	884.70	530.60	192.40	894.00	923.80	760.90	854.30	743.70	716.50	1008.50	448.80	145.50	784.00	493.80	154.20	349.70	458.80	276.40	133.80	1038.00	659.10	654.60	386.10	708.90	482.10	86.40	291.30
678.00	700.00	316.10	697.80	271.80	0.00	464.50	280.10	396.80	678.00	165.40	162.70	558.40	194.30	860.90	672.10	111.10	919.80	848.00	790.70	841.90	667.90	684.00	936.90	376.90	160.70	708.20	406.90	87.50	146.70	466.90	191.40	177.50	1021.30	684.50	618.60	528.60	676.40	395.20	279.40	214.70
497.20	776.20	430.50	774.00	280.20	466.20	0.00	385.80	453.50	497.20	510.10	358.20	609.60	551.40	593.60	234.00	369.90	635.30	924.20	469.70	583.60	744.10	426.40	735.30	449.20	375.80	784.40	531.30	382.50	487.00	459.20	434.10	414.00	760.40	431.50	601.20	121.40	418.80	536.40	274.30	422.30
452.30	498.70	60.60	496.50	375.50	321.80	395.40	0.00	192.50	452.30	361.70	264.90	347.50	406.60	629.00	563.00	245.40	649.30	646.70	520.20	601.20	466.60	456.00	735.60	175.60	305.50	506.90	178.20	343.40	359.00	196.40	285.70	457.30	793.30	414.00	392.90	494.20	448.40	166.50	369.60	295.70
316.70	365.80	170.50	363.60	465.10	396.90	485.00	158.90	0.00	316.70	436.80	340.00	211.60	481.70	520.90	560.50	320.50	685.30	513.80	499.90	490.50	333.70	344.20	610.90	46.80	380.60	374.00	288.10	418.50	434.10	197.20	360.80	532.40	695.30	421.50	257.30	583.80	336.60	242.70	459.20	340.90
0.00	601.80	451.50	599.60	726.90	677.90	540.50	440.70	356.10	0.00	717.80	621.00	151.70	762.70	221.10	437.00	601.50	562.70	684.10	362.50	246.90	569.70	131.70	345.80	359.10	661.60	610.00	519.50	699.50	715.10	338.40	641.80	813.40	430.20	298.00	104.00	514.10	150.60	496.40	721.00	616.40
684.60	706.60	303.20	704.40	324.00	195.40	469.30	286.70	403.40	684.60	0.00	167.50	565.00	169.80	867.50	676.90	143.60	894.40	854.60	765.30	848.50	674.50	690.60	943.50	383.50	204.70	714.80	359.40	240.80	121.10	473.50	122.80	354.90	1027.90	659.50	625.20	537.90	683.00	347.70	316.60	96.00
579.00	601.00	217.10	598.80	198.10	160.30	376.50	181.10	297.80	579.00	200.20	0.00	459.40	245.10	761.90	584.10	60.00	820.80	749.00	691.70	742.90	568.90	585.00	837.90	277.90	112.30	609.20	324.70	167.10	197.50	367.90	124.20	278.10	922.30	585.50	519.60	426.10	577.40	313.00	190.70	116.90
179.20	484.60	301.90	482.40	617.00	528.30	629.70	321.60	229.40	179.20	568.20	471.40	0.00	613.10	312.20	526.20	451.90	650.50	632.60	458.60	351.90	452.50	237.80	399.30	209.50	512.00	492.80	369.90	549.90	565.50	228.50	492.20	663.80	483.70	387.20	69.90	603.30	256.50	346.80	611.10	466.80
614.30	636.30	235.80	634.10	257.10	214.90	402.40	216.40	333.10	614.30	169.50	127.00	494.70	0.00	797.20	610.00	114.60	827.00	784.30	697.90	778.20	604.20	620.30	873.20	313.20	198.60	644.50	292.00	236.50	153.30	403.20	127.90	350.40	957.60	592.10	554.90	471.00	612.70	280.30	249.70	49.70
250.70	733.30	606.80	731.10	827.90	842.10	573.20	595.50	519.00	250.70	882.00	785.20	375.20	926.90	0.00	341.80	765.70	381.60	815.60	168.40	40.40	701.20	182.40	228.10	531.70	825.80	741.50	664.90	863.70	879.30	486.70	806.00	961.70	278.20	222.40	327.50	548.00	174.80	659.30	822.00	775.50
402.40	933.00	592.50	930.80	501.20	675.10	232.60	571.90	573.70	402.40	719.00	567.10	533.60	760.30	402.50	0.00	578.80	444.20	1017.20	278.60	392.50	900.90	331.60	544.20	606.00	584.70	941.20	650.60	591.40	695.90	463.10	643.00	635.00	569.30	331.10	506.40	206.20	324.00	645.00	495.30	631.20
579.50	601.50	217.60	599.30	220.70	106.80	366.00	181.60	298.30	579.50	172.60	64.20	459.90	217.50	762.40	573.60	0.00	821.30	749.50	692.20	743.40	569.40	585.50	838.40	278.40	90.50	609.70	314.00	128.40	169.90	368.40	96.60	242.30	922.80	586.00	520.10	434.60	577.90	302.30	213.30	123.90
447.80	931.00	532.30	928.80	774.10	823.80	582.30	528.80	571.70	447.80	814.40	766.90	541.20	859.30	389.10	393.70	747.40	0.00	1059.70	270.20	368.90	898.90	374.10	304.60	604.00	807.50	939.20	590.40	845.40	809.70	464.20	740.40	907.90	233.20	261.90	550.10	555.90	366.50	584.80	768.20	701.00
742.90	155.70	587.80	182.80	918.20	814.20	951.30	615.40	533.60	742.90	854.10	757.30	655.10	899.00	768.50	1028.30	737.80	1109.00	0.00	911.10	785.20	223.50	708.40	904.50	513.70	797.90	157.90	703.70	835.80	851.40	730.80	778.10	949.70	988.90	844.30	716.00	1050.10	734.90	655.00	910.80	753.80
