0.00	222.80	371.70	744.20	440.40	658.60	613.40	624.10	559.80	126.00	359.20	163.00	197.60	476.70	661.70	327.20
222.90	0.00	227.30	603.20	562.20	508.90	617.40	474.40	681.60	181.10	541.20	190.50	357.00	598.50	529.60	178.30
364.80	220.50	0.00	414.90	542.60	335.60	429.10	301.10	504.70	323.30	683.40	332.70	497.90	578.90	341.30	112.30
725.70	598.30	438.00	0.00	545.30	200.00	290.80	151.50	366.40	684.20	985.70	693.60	826.30	535.40	193.50	492.70
399.20	558.90	521.90	514.90	0.00	621.90	301.90	575.40	248.30	525.20	491.80	562.20	446.10	71.90	350.20	529.00
623.00	455.00	337.00	219.70	620.10	0.00	390.90	68.20	466.50	557.70	906.00	567.10	748.60	610.20	289.50	391.30
585.00	542.00	381.70	246.80	324.80	383.00	0.00	336.50	139.30	627.90	785.20	637.30	631.90	321.30	82.10	436.40
619.50	451.50	333.50	151.50	594.50	75.90	359.20	0.00	434.80	554.20	902.50	563.60	745.10	584.60	263.90	387.80
485.90	634.10	473.80	338.90	225.70	475.10	92.10	428.60	0.00	611.90	686.10	648.90	532.80	222.20	174.20	528.50
152.20	180.90	329.80	702.30	519.50	616.70	692.50	582.20	638.90	0.00	467.70	121.10	286.30	555.80	628.70	285.30
354.80	504.50	643.20	905.30	434.90	931.00	710.50	896.50	656.90	407.70	0.00	444.70	235.60	439.10	740.60	603.60
166.80	195.20	342.20	685.60	529.30	568.60	702.30	534.10	648.70	52.70	373.70	0.00	259.50	565.60	639.90	298.40
204.40	354.10	503.00	837.90	474.30	737.00	647.30	702.50	593.70	257.30	246.80	275.70	0.00	481.20	695.60	458.50
475.20	634.90	597.90	511.90	119.70	618.90	317.10	572.40	263.50	601.20	538.00	638.20	522.10	0.00	347.20	605.00
598.80	471.40	311.10	176.40	366.90	312.40	109.70	265.90	185.30	557.30	820.80	566.70	674.00	356.90	0.00	365.80
324.70	177.60	69.70	460.30	519.40	379.60	474.50	345.10	550.10	282.90	643.00	292.30	458.80	555.70	386.70	0.00
